text
"제목 보자마자 내용 예상하고 쪼개면서 들어왔는데 댓글보고 정색함
억지로 드립 치는거든 진짜 모르는거든 둘 다 병신임"
와 씨발 니들은 시우 까지 마라 이 글도 이해 못하면 진심으로 초졸이랑 다를 게 뭐임?
아니다 진심으로 시우가 더 똑똑할듯 너네 같은 앰생이랑 자기 실력으로 일찍 성공한 애랑 비교 자체를 ㄴㄴ
소신발언 하면 사흘 나흘 이거 대부분 프로게이머들 모를수도 있다 ㅋㅋㅋㅋ
난그냥 짱깨가 많은거라고 생각하기로했음
운이 좋아서 따라다니면 콩고물이라도 떨어질 것 같은 스타는?
리그 오브 레전드 갤러리 이용 안내 [3768]
바이퍼맘:탑새끼가 탱커 존나못해서 딜을 못하는거다. [20]
"시우야, 너 이거 안 고쳐지면 사흘 뒤에 있을 경기 어쩔래? [217]"
구마유시 사진떳네 [114]
티원 24월즈 우승은 대진빨이지 [112]
'감스트론' 떴다 씨발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ [177]
와 페이커가 도란이랑 제우스 그렸네 [76]
씨발 시우 개념글 보고 나무위키 보러 갔는데 이거 뭐냐? [94]
초졸이슈가 단순밈인줄 아는 사람이 많네 [169]
오피셜)페이커: 역체원은 구마유시다.jpg [63]
오늘자 티원 상체 먹방ㄷㄷㄷ [217]
오피셜응줌멸망)스포츠공정위 T1 조마쉬 구마유시 징계 답변. [68]
리그 5 = 월즈 1 이게 ㅈㄴ 말도안되는소린게 [126]
씨맥: 난 어린 사람이 좋다 [120]
페이커 병원에 외상하러간거임?ㄷㄷ 돈도잘버는데 [16]
페이커 제우스 솔킬.gif [63]
스매쉬 얘는 가만히 있는데 응줌 붙어서 프로생활 망함 ㅋㅋ [79]
구마유시 리스펙하는 티원 선수단…JPG [56]
난 티응갤이 티원팬이라는 사람들이 이해가 안됨 [87]
진짜 존나 웃었네 아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ [69]
실시간) 병원 이사장 포스로 회의 중인 페이커...jpg [175]
한화생명 바이퍼 결국 못참고 한마디함....JPG [78]
제우스는 생전 듣지못한 샤라웃받는 도란영상.mp4 [112]
제우스는 이제 여기서 명단 제외 당하겠네 ㄷㄷ [120]
응줌 : 원딜은 많이 뒤질수록 잘하는 거다. [43]
이거 ㅈㄴ웃기노 ㅋㅋㅋㅋㅋㅋㅋ [76]
안녕하세요? 공정위 긴급 응마카세입니다. [138]
개추) 제우스 이적사가 정리하면 이거아님? [113]
페이커 머리 박치기 왜 욕을 함?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ [191]
애초에 클리드처럼 저 안맞아서 나감 ㅇㅇ 미리 구하셈 이러면 [134]
한화 워크숍 가서 했던 일.. [426]
근데 페이커 이건 왜그런거임? [464]
페이커 금액비공개 기부 < 나만 이거 떠오르냐? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ [177]
쵸맘들 캐드럴 싫어하냐? [166]
월즈 새로운 이론 떴다 씨발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ [644]
페이커가 월즈 5회 우승자가 아닌이유. [138]
클템 리그5번 vs 월즈 우승 발언영상 [466]
작년 젠첩들 무빙은 개쳐웃기긴 했음ㅋㅋㅋㅋㅋㅋ.Real [233]
페이커 오늘자 개미친 근황 ㄷㄷ [215]
월즈에 대해 물어봤을때 팬덤별 반응… factos [184]
소드 뒷목잡게 만드는 오른 듀오..jpg [67]
즙갈들의 23월즈 즙북공정의 진실…jpg [281]
도란 혼자 1000만원 드랍받은거임? ㅋㅋㅋㅋㅋㅋ [198]
실시간 속보) 도란은 티원와서 경사났네 ㄷㄷ [329]
큐베가 클템얘기 나오자마자 그 양반 아직도 그러나 하잖아 [290]
한화생명 유튜브 바이퍼영상...JPG [47]
한화생명 탑만 바꾸니까 일어난일. [288]
"??? : 시우야, 혹시 너 고소가 뭔지 아니? [108]"
7개월 전 도란이 듣던 소리 [237]
역체탑 도란 인스타 근황.jpg [185]
